Transaction_Amount,Category,Preferred_Payment_Method,Last_Used_Credit_Card_Days,Last_Used_UPI_Days,UPI_Usage_Count,Card_Usage_Count,Wallet_Usage_Count,EMI_Usage_Count,Bank_Offer_Active,Bank_Name,Is_High_Value,Failure_Rate_Last10,Time_of_Day,Recommended_Payment_Method
44143.55,Electronics,UPI,54,8,8,2,18,2,1,HDFC,1,0.2,Afternoon,UPI
42561.33,Grocery,Wallet,48,7,3,5,7,3,0,Kotak,1,0.19,Morning,EMI
48685.83,Utilities,Wallet,17,45,17,1,21,2,0,Kotak,1,0.11,Night,UPI
11938.73,Travel,Debit Card,20,47,19,23,7,6,1,Kotak,1,0.15,Morning,Credit Card
25489.82,Electronics,EMI,21,54,21,13,29,5,1,SBI,1,0.24,Evening,Credit Card
21776.28,Electronics,Debit Card,20,29,0,27,14,0,0,Axis,1,0.36,Afternoon,Debit Card
1313.37,Utilities,UPI,48,16,11,27,29,4,1,SBI,0,0.37,Afternoon,Credit Card
16604.44,Travel,UPI,45,52,2,27,0,3,0,SBI,1,0.19,Afternoon,EMI
15914.41,Grocery,Debit Card,17,24,9,21,25,2,0,ICICI,1,0.05,Morning,Debit Card
49503.69,Travel,Debit Card,1,26,9,1,25,0,1,Axis,1,0.07,Morning,UPI
27685.72,Electronics,Debit Card,41,54,25,2,17,8,0,SBI,1,0.04,Afternoon,UPI
31431.93,Grocery,EMI,19,0,7,13,15,2,0,HDFC,1,0.19,Morning,EMI
28956.18,Utilities,UPI,21,50,24,25,29,5,0,Kotak,1,0.02,Afternoon,EMI
41147.77,Grocery,Wallet,53,42,27,4,0,7,1,Kotak,1,0.11,Afternoon,EMI
4358.84,Fashion,EMI,44,31,19,29,14,2,0,Kotak,0,0.36,Night,Debit Card
25863.39,Grocery,EMI,29,18,16,23,18,9,0,ICICI,1,0.01,Evening,EMI
41815.41,Utilities,Debit Card,8,11,20,0,25,9,0,Axis,1,0.13,Night,EMI
35758.34,Electronics,Credit Card,39,44,20,0,15,6,0,ICICI,1,0.22,Morning,EMI
2481.03,Fashion,UPI,25,15,18,4,21,8,0,Kotak,0,0.05,Afternoon,UPI
15639.52,Travel,Credit Card,51,4,11,15,25,9,0,HDFC,1,0.24,Morning,EMI
21749.2,Electronics,Credit Card,22,57,9,21,4,3,0,HDFC,1,0.19,Morning,EMI
25206.5,Fashion,UPI,0,55,4,12,3,7,1,Kotak,1,0.47,Afternoon,Credit Card
31856.54,Fashion,Wallet,19,23,11,17,2,0,0,ICICI,1,0.27,Afternoon,Wallet
19366.52,Travel,EMI,32,39,9,10,11,1,0,Axis,1,0.31,Afternoon,Debit Card
32820.56,Utilities,Wallet,28,25,9,25,29,1,0,ICICI,1,0.25,Morning,Wallet
17482.0,Electronics,Wallet,10,28,23,3,24,4,1,SBI,1,0.27,Night,EMI
28469.16,Utilities,Wallet,34,48,2,15,3,1,0,HDFC,1,0.29,Morning,Wallet
28137.15,Electronics,Wallet,11,48,22,12,22,8,0,SBI,1,0.19,Morning,EMI
24878.4,Grocery,Credit Card,24,21,12,26,18,0,0,ICICI,1,0.48,Night,Debit Card
17809.77,Grocery,Wallet,27,13,19,18,25,4,0,ICICI,1,0.3,Evening,EMI
10715.12,Utilities,Credit Card,52,22,15,24,6,4,0,HDFC,1,0.03,Night,EMI
22132.37,Travel,UPI,22,28,10,10,17,8,1,HDFC,1,0.31,Morning,EMI
4296.93,Electronics,Credit Card,12,39,9,8,17,9,0,ICICI,0,0.26,Night,Credit Card
29107.14,Utilities,Wallet,44,0,21,19,16,6,1,ICICI,1,0.38,Night,Credit Card
4266.69,Electronics,Credit Card,43,53,6,26,9,9,0,Axis,0,0.22,Morning,Credit Card
20319.58,Utilities,Debit Card,57,19,27,7,28,8,1,Axis,1,0.34,Evening,EMI
20071.12,Utilities,EMI,59,48,24,23,0,5,0,Axis,1,0.4,Afternoon,EMI
27844.65,Grocery,Debit Card,46,20,15,21,20,4,0,ICICI,1,0.35,Morning,EMI
8394.15,Travel,EMI,48,13,14,0,20,5,0,HDFC,0,0.45,Evening,Debit Card
14120.06,Electronics,UPI,31,15,7,5,11,7,0,Kotak,1,0.14,Night,EMI
23238.55,Travel,EMI,57,59,17,27,27,4,1,ICICI,1,0.49,Morning,Credit Card
26851.21,Travel,UPI,32,52,19,12,27,2,1,ICICI,1,0.47,Morning,Credit Card
30709.42,Travel,UPI,1,9,23,29,17,4,0,ICICI,1,0.19,Night,EMI
49365.08,Electronics,EMI,48,10,20,25,24,5,1,ICICI,1,0.28,Morning,Credit Card
1937.41,Travel,UPI,0,20,15,22,5,0,0,Axis,0,0.37,Evening,Debit Card
29298.96,Fashion,Credit Card,52,36,9,9,18,0,0,SBI,1,0.1,Afternoon,Credit Card
13809.12,Fashion,Wallet,3,0,16,7,1,7,0,ICICI,1,0.25,Evening,EMI
41585.44,Utilities,Debit Card,49,11,0,21,11,4,0,HDFC,1,0.4,Morning,EMI
24054.29,Utilities,EMI,22,14,4,20,13,1,1,Kotak,1,0.45,Morning,Credit Card
49025.09,Electronics,EMI,49,33,17,29,14,2,1,ICICI,1,0.17,Evening,Credit Card
39204.29,Grocery,Debit Card,59,29,22,9,18,0,1,HDFC,1,0.07,Afternoon,UPI
24656.6,Fashion,Debit Card,59,19,23,4,1,5,0,ICICI,1,0.16,Night,EMI
12083.27,Travel,Debit Card,50,46,24,22,22,5,0,Kotak,1,0.09,Morning,EMI
20641.89,Travel,Debit Card,31,2,26,28,17,9,0,HDFC,1,0.41,Afternoon,EMI
17446.2,Fashion,UPI,21,20,5,0,4,8,0,HDFC,1,0.45,Afternoon,EMI
16571.97,Fashion,Debit Card,26,8,25,24,14,8,0,Kotak,1,0.26,Afternoon,EMI
18926.57,Fashion,Credit Card,16,25,3,0,7,0,0,SBI,1,0.49,Night,Debit Card
46209.68,Fashion,UPI,13,25,27,22,13,7,1,HDFC,1,0.03,Night,Credit Card
6742.53,Fashion,UPI,2,46,22,13,10,1,0,HDFC,0,0.27,Evening,UPI
13535.24,Grocery,Debit Card,36,27,9,6,24,0,0,ICICI,1,0.16,Night,UPI
44537.31,Travel,Wallet,19,24,3,9,2,8,0,Kotak,1,0.04,Morning,EMI
29383.37,Electronics,UPI,7,39,16,11,18,9,0,ICICI,1,0.18,Morning,EMI
28581.84,Fashion,EMI,55,58,12,5,4,8,0,Kotak,1,0.05,Afternoon,EMI
12373.29,Utilities,Credit Card,3,29,10,29,29,7,1,HDFC,1,0.04,Evening,Credit Card
20578.8,Fashion,UPI,35,23,5,1,19,3,0,SBI,1,0.49,Afternoon,EMI
36172.52,Grocery,UPI,56,1,14,10,7,9,0,SBI,1,0.38,Night,EMI
16251.59,Travel,Credit Card,18,19,0,19,16,0,0,ICICI,1,0.14,Afternoon,Credit Card
7802.7,Grocery,Wallet,35,12,10,2,0,5,0,HDFC,0,0.07,Afternoon,UPI
49499.02,Fashion,Wallet,12,39,1,19,0,4,0,ICICI,1,0.06,Evening,EMI
30344.48,Grocery,UPI,34,29,16,4,29,1,0,Axis,1,0.37,Morning,Debit Card
9143.53,Utilities,Credit Card,34,0,7,21,27,7,1,ICICI,0,0.38,Night,Credit Card
41274.12,Fashion,Debit Card,36,4,18,26,13,9,1,ICICI,1,0.16,Afternoon,Credit Card
34180.8,Electronics,Credit Card,7,38,7,13,18,5,0,Axis,1,0.22,Evening,EMI
17832.59,Fashion,UPI,46,54,1,13,20,7,0,SBI,1,0.27,Evening,EMI
16707.51,Travel,Wallet,50,7,9,19,14,0,0,Kotak,1,0.45,Evening,Debit Card
7668.58,Electronics,UPI,32,36,26,22,0,3,0,SBI,0,0.38,Afternoon,Debit Card
17169.88,Travel,Debit Card,37,12,14,3,12,7,0,HDFC,1,0.25,Morning,EMI
24369.24,Travel,Wallet,3,11,12,1,26,2,0,SBI,1,0.27,Evening,Wallet
17350.23,Utilities,EMI,10,9,7,5,5,7,0,Kotak,1,0.14,Morning,EMI
45601.44,Utilities,EMI,39,17,24,0,14,7,1,ICICI,1,0.47,Evening,EMI
34862.88,Electronics,Wallet,55,36,7,9,16,9,0,HDFC,1,0.04,Afternoon,EMI
42037.94,Fashion,Wallet,10,22,0,13,4,4,0,HDFC,1,0.09,Evening,EMI
16674.11,Travel,Debit Card,53,54,18,7,14,4,0,HDFC,1,0.37,Evening,EMI
39410.72,Travel,Debit Card,25,40,2,19,24,9,1,Axis,1,0.17,Evening,Credit Card
36901.31,Utilities,Debit Card,16,42,26,11,26,2,0,Kotak,1,0.29,Afternoon,Debit Card
1790.57,Grocery,Wallet,32,48,28,10,21,9,0,Axis,0,0.33,Afternoon,Debit Card
48057.41,Travel,EMI,48,19,21,21,27,7,0,SBI,1,0.3,Night,EMI
37523.03,Travel,UPI,58,55,18,29,29,0,0,SBI,1,0.24,Evening,UPI
3378.86,Grocery,Wallet,13,50,14,17,1,5,0,Kotak,0,0.2,Evening,Wallet
7846.49,Utilities,Wallet,0,7,28,22,6,2,0,Axis,0,0.14,Afternoon,UPI
20495.84,Travel,Wallet,22,54,27,17,6,7,0,ICICI,1,0.11,Morning,EMI
33627.45,Fashion,EMI,7,53,24,14,4,2,1,Kotak,1,0.28,Evening,Credit Card
40285.22,Electronics,Credit Card,23,13,23,13,10,3,1,SBI,1,0.07,Afternoon,Credit Card
16267.1,Grocery,Credit Card,17,6,9,6,0,6,1,HDFC,1,0.06,Morning,EMI
32181.99,Grocery,Wallet,17,1,0,14,4,3,0,Kotak,1,0.41,Morning,EMI
1807.98,Utilities,Wallet,19,4,4,5,29,8,0,Kotak,0,0.15,Afternoon,Wallet
38203.93,Utilities,Wallet,23,16,9,29,23,6,1,Axis,1,0.21,Afternoon,Credit Card
13507.0,Electronics,UPI,39,1,12,24,6,8,0,Axis,1,0.42,Afternoon,EMI
26331.94,Grocery,EMI,44,33,22,4,10,5,1,Axis,1,0.06,Morning,EMI
13775.36,Travel,Credit Card,16,36,24,5,25,6,0,HDFC,1,0.07,Night,EMI
13398.27,Grocery,Wallet,26,39,1,11,12,8,0,Kotak,1,0.29,Evening,EMI
20278.64,Utilities,EMI,57,45,1,27,21,0,0,Kotak,1,0.3,Night,EMI
19525.85,Travel,Wallet,39,10,3,16,26,6,0,ICICI,1,0.47,Night,EMI
47708.94,Utilities,Debit Card,21,4,23,0,25,3,0,ICICI,1,0.08,Evening,EMI
42335.75,Travel,Wallet,58,44,10,1,8,9,0,ICICI,1,0.17,Evening,EMI
20698.4,Utilities,UPI,42,39,9,24,6,2,1,SBI,1,0.4,Afternoon,Credit Card
13680.04,Fashion,Debit Card,33,11,18,4,11,0,0,SBI,1,0.48,Morning,Debit Card
9338.13,Grocery,Credit Card,15,23,18,7,20,0,0,ICICI,0,0.35,Night,Debit Card
12558.43,Grocery,Credit Card,24,11,14,26,25,8,1,HDFC,1,0.02,Night,Credit Card
46269.89,Utilities,Debit Card,22,25,20,21,25,6,0,Kotak,1,0.35,Night,EMI
46227.37,Utilities,UPI,49,58,22,28,17,3,1,ICICI,1,0.16,Night,Credit Card
1946.68,Utilities,EMI,30,23,2,11,27,1,1,HDFC,0,0.27,Night,Credit Card
20283.82,Utilities,UPI,38,14,23,16,3,5,0,SBI,1,0.31,Evening,EMI
30831.57,Utilities,Wallet,1,54,2,9,1,6,0,Kotak,1,0.19,Afternoon,EMI
3594.48,Utilities,Credit Card,45,51,28,29,16,4,0,SBI,0,0.29,Night,Credit Card
19974.54,Utilities,UPI,29,24,6,19,4,0,0,Axis,1,0.06,Evening,UPI
14433.23,Utilities,Credit Card,3,17,29,4,24,0,1,Axis,1,0.02,Afternoon,UPI
19642.34,Travel,EMI,3,11,26,25,4,4,0,HDFC,1,0.21,Night,EMI
47242.13,Travel,EMI,10,12,1,24,6,3,0,HDFC,1,0.2,Morning,EMI
11605.4,Utilities,Credit Card,50,44,13,9,10,1,0,Axis,1,0.02,Afternoon,UPI
41327.66,Electronics,Debit Card,4,4,21,14,22,0,0,Axis,1,0.3,Evening,Debit Card
13085.65,Grocery,Wallet,34,49,17,29,16,7,1,SBI,1,0.23,Evening,Credit Card
37418.79,Utilities,Debit Card,24,8,3,13,4,1,0,Axis,1,0.2,Evening,Debit Card
23886.17,Electronics,Wallet,2,24,1,11,9,8,0,HDFC,1,0.47,Morning,EMI
14141.41,Fashion,Credit Card,59,14,5,7,26,4,0,HDFC,1,0.27,Morning,EMI
5562.5,Electronics,Credit Card,27,4,12,16,17,7,1,ICICI,0,0.26,Morning,Credit Card
28608.82,Travel,Credit Card,39,33,7,26,12,0,1,ICICI,1,0.4,Afternoon,Credit Card
42544.03,Utilities,UPI,58,47,8,12,10,8,1,Kotak,1,0.05,Afternoon,Credit Card
9542.15,Utilities,Debit Card,4,42,12,25,24,2,1,SBI,0,0.0,Afternoon,Credit Card
11508.4,Travel,EMI,38,30,17,3,1,6,0,HDFC,1,0.04,Afternoon,EMI
28036.23,Fashion,UPI,39,30,1,27,23,2,0,Kotak,1,0.14,Morning,Debit Card
21668.82,Travel,Wallet,33,27,27,14,29,4,0,Axis,1,0.47,Afternoon,EMI
3485.07,Electronics,EMI,26,16,11,21,16,9,0,ICICI,0,0.03,Morning,EMI
42635.49,Fashion,EMI,13,46,28,11,3,2,0,HDFC,1,0.19,Morning,UPI
41093.5,Fashion,EMI,46,14,18,10,25,6,0,Axis,1,0.14,Evening,EMI
21366.45,Electronics,EMI,12,40,6,14,22,3,1,SBI,1,0.39,Morning,Credit Card
6653.62,Utilities,Wallet,2,16,29,11,23,4,1,HDFC,0,0.43,Night,Credit Card
38028.69,Fashion,Wallet,4,2,26,0,25,5,0,ICICI,1,0.11,Night,EMI
32618.17,Grocery,EMI,11,17,14,11,15,7,0,SBI,1,0.1,Night,EMI
7767.54,Utilities,Wallet,26,45,17,19,6,2,1,Kotak,0,0.15,Evening,Credit Card
48378.81,Fashion,Credit Card,19,45,14,24,29,6,0,HDFC,1,0.34,Evening,EMI
10106.18,Utilities,Credit Card,56,59,21,21,20,4,0,Axis,1,0.22,Night,EMI
7564.07,Fashion,UPI,20,17,29,17,13,5,0,Axis,0,0.35,Evening,Debit Card
39014.56,Grocery,Wallet,7,10,21,18,23,8,0,ICICI,1,0.49,Evening,EMI
24994.52,Fashion,Debit Card,21,27,19,0,9,7,0,SBI,1,0.16,Evening,EMI
4484.54,Travel,UPI,12,29,0,12,19,9,0,Kotak,0,0.07,Afternoon,UPI
34504.3,Electronics,Credit Card,49,14,1,9,22,0,1,Axis,1,0.06,Night,Credit Card
29779.35,Travel,Credit Card,8,38,8,17,11,7,1,Axis,1,0.31,Night,Credit Card
30651.67,Utilities,UPI,6,10,19,15,3,5,1,HDFC,1,0.23,Evening,Credit Card
26367.49,Grocery,Wallet,41,13,10,17,21,6,0,ICICI,1,0.24,Evening,EMI
16517.97,Travel,Debit Card,45,35,12,7,28,6,0,Axis,1,0.02,Evening,EMI
1140.97,Utilities,EMI,18,21,4,23,8,2,0,SBI,0,0.2,Evening,Wallet
20978.15,Utilities,Debit Card,14,32,6,11,16,4,1,SBI,1,0.37,Evening,Credit Card
17362.16,Grocery,UPI,43,19,27,23,17,0,0,ICICI,1,0.29,Evening,UPI
19836.21,Travel,Credit Card,35,1,14,1,3,5,0,ICICI,1,0.5,Afternoon,EMI
18021.64,Utilities,Debit Card,2,44,17,7,20,0,0,Kotak,1,0.36,Evening,Debit Card
9066.19,Electronics,Credit Card,43,13,13,1,22,4,1,SBI,0,0.25,Afternoon,Credit Card
43550.42,Fashion,Credit Card,46,13,23,6,24,3,0,SBI,1,0.08,Morning,EMI
48473.67,Travel,Credit Card,1,34,4,4,0,7,0,SBI,1,0.2,Morning,EMI
11810.23,Electronics,EMI,9,2,21,13,15,9,0,SBI,1,0.33,Afternoon,EMI
22526.75,Utilities,UPI,7,42,11,0,24,5,0,HDFC,1,0.02,Evening,EMI
33223.85,Utilities,Wallet,36,48,16,23,11,7,0,Axis,1,0.43,Evening,EMI
5684.79,Grocery,UPI,49,13,1,8,4,3,0,SBI,0,0.32,Night,Debit Card
9082.52,Electronics,UPI,58,4,0,16,18,9,0,Axis,0,0.24,Night,UPI
967.25,Electronics,EMI,24,49,28,24,6,7,0,HDFC,0,0.24,Afternoon,Wallet
7068.6,Grocery,EMI,44,51,15,17,9,6,0,SBI,0,0.09,Morning,EMI
7892.58,Grocery,UPI,37,4,14,21,14,1,0,Kotak,0,0.49,Night,Debit Card
974.05,Travel,EMI,17,16,25,7,14,7,1,Kotak,0,0.06,Afternoon,UPI
45942.02,Travel,Wallet,0,18,15,13,20,4,0,Axis,1,0.17,Night,EMI
30287.2,Fashion,EMI,8,32,8,24,15,8,0,Axis,1,0.14,Evening,EMI
32560.53,Travel,EMI,37,45,3,5,18,5,1,HDFC,1,0.44,Morning,EMI
43458.14,Grocery,Credit Card,0,23,29,21,6,8,0,SBI,1,0.32,Morning,EMI
28215.6,Grocery,Credit Card,18,59,28,24,0,0,0,ICICI,1,0.22,Morning,Credit Card
29394.38,Electronics,Wallet,7,45,13,9,1,8,0,Axis,1,0.43,Night,EMI
24011.18,Fashion,UPI,52,28,25,24,11,4,0,ICICI,1,0.29,Evening,EMI
30434.46,Fashion,Wallet,47,22,5,13,17,4,0,HDFC,1,0.0,Afternoon,EMI
44911.72,Fashion,EMI,24,35,10,18,14,3,1,ICICI,1,0.18,Night,Credit Card
24345.0,Electronics,EMI,47,52,19,13,26,2,0,ICICI,1,0.04,Afternoon,UPI
20055.27,Fashion,Credit Card,12,3,25,24,29,6,0,HDFC,1,0.09,Morning,EMI
35481.41,Grocery,Debit Card,55,48,9,28,9,7,1,Kotak,1,0.24,Evening,Credit Card
27556.3,Utilities,UPI,55,44,9,14,26,6,0,Axis,1,0.26,Evening,EMI
39707.82,Utilities,Debit Card,14,9,23,25,24,9,1,Kotak,1,0.18,Night,Credit Card
39048.22,Utilities,UPI,49,23,18,3,27,6,0,Kotak,1,0.05,Morning,EMI
22643.21,Utilities,Debit Card,49,4,14,16,2,1,0,Kotak,1,0.27,Evening,Debit Card
15682.36,Electronics,UPI,34,27,6,10,9,8,0,ICICI,1,0.3,Morning,EMI
49390.5,Fashion,EMI,34,6,20,17,2,9,0,HDFC,1,0.36,Afternoon,EMI
49563.67,Utilities,EMI,59,45,18,3,25,5,0,Axis,1,0.14,Evening,EMI
4374.35,Grocery,EMI,32,35,2,8,7,0,0,Axis,0,0.18,Night,EMI
26001.08,Electronics,Wallet,1,59,4,11,26,4,0,SBI,1,0.3,Night,EMI
11618.38,Fashion,Debit Card,57,2,21,5,1,6,0,HDFC,1,0.18,Afternoon,EMI
22372.98,Fashion,Wallet,51,7,21,11,25,3,1,Axis,1,0.32,Evening,Credit Card
8606.85,Utilities,EMI,41,29,24,22,15,0,0,HDFC,0,0.49,Night,Debit Card
19188.06,Electronics,Debit Card,22,27,18,7,21,4,1,SBI,1,0.38,Evening,EMI
33610.77,Electronics,Wallet,19,5,21,17,7,6,1,Kotak,1,0.3,Morning,Credit Card
8049.27,Travel,Wallet,13,35,0,22,17,1,0,Axis,0,0.17,Morning,Wallet
25535.24,Grocery,EMI,2,51,29,22,25,3,1,SBI,1,0.08,Night,Credit Card
28771.91,Utilities,UPI,59,36,19,9,11,0,0,ICICI,1,0.41,Evening,Debit Card
43910.92,Travel,Credit Card,29,13,5,2,15,6,0,SBI,1,0.04,Night,EMI
8758.87,Utilities,UPI,1,34,17,13,19,1,0,HDFC,0,0.41,Afternoon,Debit Card
43114.52,Grocery,Debit Card,35,30,13,0,13,5,1,Kotak,1,0.16,Morning,EMI
41277.52,Travel,Wallet,12,52,1,7,20,1,0,HDFC,1,0.12,Afternoon,Wallet
38858.51,Electronics,Wallet,31,27,12,13,19,1,0,HDFC,1,0.43,Afternoon,Wallet
982.62,Fashion,EMI,1,59,22,18,18,4,1,SBI,0,0.23,Night,Credit Card
49743.83,Utilities,Wallet,30,55,14,8,22,2,0,ICICI,1,0.04,Night,UPI
13342.83,Travel,Credit Card,6,15,15,27,0,3,0,Axis,1,0.11,Afternoon,EMI
11118.05,Travel,EMI,28,51,3,27,5,6,1,ICICI,1,0.4,Morning,Credit Card
32738.38,Fashion,Wallet,34,6,26,27,21,6,1,SBI,1,0.38,Evening,UPI
20866.08,Fashion,Debit Card,26,20,21,5,14,4,1,Kotak,1,0.07,Night,EMI
10838.57,Grocery,Wallet,20,25,17,12,20,4,1,Kotak,1,0.48,Night,Credit Card
5575.84,Fashion,Debit Card,59,10,20,19,22,4,0,Kotak,0,0.08,Night,UPI
36894.12,Utilities,Debit Card,39,34,8,28,19,5,0,ICICI,1,0.48,Afternoon,EMI
5197.26,Travel,Wallet,55,8,8,0,1,0,1,ICICI,0,0.02,Night,UPI
23127.73,Electronics,Debit Card,10,54,1,7,26,5,0,Axis,1,0.31,Night,EMI
25968.56,Utilities,Credit Card,18,4,11,0,22,4,0,Axis,1,0.02,Morning,EMI
32985.87,Grocery,EMI,50,23,2,23,16,4,0,Kotak,1,0.19,Evening,EMI
49580.26,Electronics,Wallet,51,14,18,6,18,2,0,HDFC,1,0.05,Night,UPI
38242.2,Electronics,Credit Card,9,37,14,15,27,0,0,Axis,1,0.38,Afternoon,Debit Card
19158.79,Electronics,Wallet,49,2,16,3,29,3,1,SBI,1,0.32,Evening,EMI
2193.37,Travel,Wallet,49,9,20,3,11,7,0,HDFC,0,0.24,Evening,Wallet
26086.33,Travel,Wallet,31,59,1,10,9,0,1,SBI,1,0.11,Night,Wallet
21660.64,Travel,UPI,59,57,24,17,21,3,0,Kotak,1,0.06,Morning,EMI
44357.55,Grocery,Debit Card,55,20,2,25,29,6,1,ICICI,1,0.13,Morning,Credit Card
31839.93,Utilities,UPI,20,7,13,7,13,6,0,HDFC,1,0.03,Night,EMI
37684.05,Grocery,Debit Card,24,21,27,28,12,1,0,HDFC,1,0.34,Morning,Debit Card
48259.97,Fashion,UPI,14,50,22,23,11,5,0,SBI,1,0.3,Evening,EMI
14947.67,Fashion,Wallet,18,22,28,29,6,8,1,ICICI,1,0.08,Afternoon,Credit Card
565.65,Travel,Wallet,0,43,4,2,0,3,0,Kotak,0,0.2,Afternoon,Wallet
10281.38,Grocery,Credit Card,9,20,13,6,26,1,0,HDFC,1,0.39,Night,Debit Card
360.96,Travel,Credit Card,25,57,21,11,16,8,1,Axis,0,0.18,Afternoon,Credit Card
7529.51,Grocery,Wallet,54,5,23,18,4,9,0,SBI,0,0.22,Night,Wallet
44321.17,Fashion,UPI,34,25,4,5,20,5,0,Axis,1,0.0,Evening,EMI
17839.1,Travel,Credit Card,56,44,19,16,22,6,0,HDFC,1,0.32,Night,EMI
29041.19,Fashion,EMI,54,51,3,23,29,7,0,SBI,1,0.4,Night,EMI
41269.97,Fashion,Wallet,48,45,18,21,23,9,1,SBI,1,0.39,Afternoon,Credit Card
22065.93,Utilities,Wallet,35,29,22,16,22,0,0,HDFC,1,0.11,Afternoon,UPI
36809.59,Utilities,EMI,10,56,27,21,12,0,0,SBI,1,0.32,Evening,Debit Card
6004.98,Fashion,UPI,5,46,13,27,10,6,0,Axis,0,0.29,Evening,UPI
18175.55,Electronics,EMI,49,2,12,10,16,5,0,HDFC,1,0.26,Night,EMI
47039.89,Fashion,Credit Card,41,34,13,25,18,4,1,Kotak,1,0.09,Evening,Credit Card
22963.53,Grocery,Credit Card,4,35,5,25,3,6,1,Kotak,1,0.45,Evening,Credit Card
450.76,Grocery,UPI,40,53,13,27,11,8,1,HDFC,0,0.33,Evening,Credit Card
3541.01,Utilities,UPI,43,41,29,21,27,6,0,Kotak,0,0.45,Evening,Debit Card
13670.29,Grocery,UPI,53,30,9,24,12,5,0,SBI,1,0.24,Evening,EMI
3226.39,Utilities,Credit Card,57,42,24,20,3,1,0,ICICI,0,0.17,Afternoon,UPI
1188.99,Travel,Debit Card,55,10,19,23,14,6,0,Kotak,0,0.41,Evening,Debit Card
31258.83,Grocery,Debit Card,36,57,20,17,4,2,1,Axis,1,0.1,Evening,Credit Card
15504.07,Fashion,UPI,20,11,24,28,8,0,0,Axis,1,0.11,Morning,UPI
42545.74,Grocery,Credit Card,54,32,16,23,28,1,0,Axis,1,0.27,Evening,Credit Card
27487.05,Electronics,Wallet,33,5,13,5,1,0,0,HDFC,1,0.07,Evening,UPI
10882.91,Travel,UPI,9,33,15,15,18,6,0,Axis,1,0.03,Evening,EMI
40339.54,Fashion,EMI,9,34,18,16,6,4,0,Axis,1,0.17,Evening,EMI
26017.35,Electronics,Credit Card,55,39,20,14,21,3,1,Axis,1,0.12,Morning,Credit Card
49250.98,Travel,EMI,25,48,1,24,23,2,1,SBI,1,0.27,Afternoon,Credit Card
5363.14,Electronics,Wallet,51,22,24,26,17,2,0,SBI,0,0.1,Night,Wallet
4792.4,Electronics,Credit Card,59,27,8,3,4,4,0,HDFC,0,0.32,Morning,Debit Card
44858.2,Fashion,Wallet,17,41,27,19,5,1,0,HDFC,1,0.43,Morning,Debit Card
